Test(0);NodesCount: 768;ChanceToJoin: 72;IsPlanar: True;DistanceBetweenPoints: 73
RandomizedDFS;00:00:00.0115539;599;97;82
BidirectionalBFS;00:00:00.1740499;213;25;32
BidirectionalDFS;00:00:00.1719793;294;52;94
DFS;00:00:00.0031875;349;65;150
;;;;
Test(12);NodesCount: 937;ChanceToJoin: 78;IsPlanar: True;DistanceBetweenPoints: 90
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0070625;722;32;40
AStar;00:00:00.0090028;229;27;40
DIJKSTRA;00:00:00.0165223;712;32;40
RandomizedWalk;00:00:00.0706768;464;0;42
RandomizedDFS;00:00:00.0122531;507;103;174
BidirectionalBFS;00:00:00.0707133;309;32;40
BidirectionalDFS;00:00:00.0682578;279;40;88
DFS;00:00:00.0038275;407;37;106
;;;;
Test(13);NodesCount: 808;ChanceToJoin: 57;IsPlanar: True;DistanceBetweenPoints: 63
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0027385;358;26;28
AStar;00:00:00.0028617;96;24;28
DIJKSTRA;00:00:00.0058480;338;25;28
RandomizedWalk;00:00:00.2027064;591;0;40
RandomizedDFS;00:00:00.0092779;503;72;90
BidirectionalBFS;00:00:00.2010527;239;36;28
BidirectionalDFS;00:00:00.1987552;539;67;118
DFS;00:00:00.0016515;215;37;88
;;;;
Test(14);NodesCount: 771;ChanceToJoin: 31;IsPlanar: True;DistanceBetweenPoints: 60
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0019542;259;18;42
AStar;00:00:00.0039266;149;15;42
DIJKSTRA;00:00:00.0038861;241;18;42
RandomizedWalk;00:00:00.0503860;196;0;70
RandomizedDFS;00:00:00.0079756;445;46;78
BidirectionalBFS;00:00:00.0587953;234;26;42
BidirectionalDFS;00:00:00.0568090;376;25;70
DFS;00:00:00.0056174;563;31;70
;;;;
Test(15);NodesCount: 633;ChanceToJoin: 59;IsPlanar: True;DistanceBetweenPoints: 96
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0047344;578;26;47
AStar;00:00:00.0134212;337;31;47
DIJKSTRA;00:00:00.0114316;573;25;47
RandomizedWalk;00:00:00.0470480;451;0;65
RandomizedDFS;00:00:00.0099543;503;104;103
BidirectionalBFS;00:00:00.0465718;432;47;47
BidirectionalDFS;00:00:00.0439121;421;79;153
DFS;00:00:00.0034260;374;84;207
;;;;
Test(16);NodesCount: 927;ChanceToJoin: 64;IsPlanar: True;DistanceBetweenPoints: 58
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0034463;411;28;42
AStar;00:00:00.0035129;125;26;42
DIJKSTRA;00:00:00.0066896;396;29;42
RandomizedWalk;00:00:00.1327602;449;0;62
RandomizedDFS;00:00:00.0019824;98;33;54
BidirectionalBFS;00:00:00.1316298;314;42;42
BidirectionalDFS;00:00:00.1296404;260;69;144
DFS;00:00:00.0025827;289;83;204
;;;;
Test(17);NodesCount: 747;ChanceToJoin: 67;IsPlanar: True;DistanceBetweenPoints: 72
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0019564;253;27;37
AStar;00:00:00.0019823;82;13;37
DIJKSTRA;00:00:00.0040290;234;28;37
RandomizedWalk;00:00:00.0657658;292;0;71
RandomizedDFS;00:00:00.0013851;68;18;47
BidirectionalBFS;00:00:00.0702709;143;22;37
BidirectionalDFS;00:00:00.0687896;123;28;47
DFS;00:00:00.0055919;572;47;93
;;;;
Test(18);NodesCount: 828;ChanceToJoin: 36;IsPlanar: True;DistanceBetweenPoints: 48
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0006856;87;10;17
AStar;00:00:00.0006609;31;10;17
DIJKSTRA;00:00:00.0011459;78;10;17
RandomizedWalk;00:00:00.0020750;40;0;19
RandomizedDFS;00:00:00.0010280;72;11;17
BidirectionalBFS;00:00:00.0142747;57;12;17
BidirectionalDFS;00:00:00.0128973;41;9;21
DFS;00:00:00.0007762;101;18;41
;;;;
Test(19);NodesCount: 564;ChanceToJoin: 30;IsPlanar: True;DistanceBetweenPoints: 66
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0038676;454;30;26
AStar;00:00:00.0040812;120;25;26
DIJKSTRA;00:00:00.0084834;439;30;26
RandomizedWalk;00:00:00.1228582;465;0;72
RandomizedDFS;00:00:00.0014619;75;22;36
BidirectionalBFS;00:00:00.1263456;204;36;26
BidirectionalDFS;00:00:00.1242960;101;30;36
DFS;00:00:00.0034096;385;62;158
;;;;
Test(20);NodesCount: 815;ChanceToJoin: 70;IsPlanar: True;DistanceBetweenPoints: 63
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0014420;193;17;23
AStar;00:00:00.0021382;92;16;23
DIJKSTRA;00:00:00.0028286;182;18;23
RandomizedWalk;00:00:00.0187498;225;0;43
RandomizedDFS;00:00:00.0064111;349;69;169
BidirectionalBFS;00:00:00.0194381;144;29;23
BidirectionalDFS;00:00:00.0168536;258;50;83
DFS;00:00:00.0026076;263;47;103
;;;;
